absolute_magnitude_h,close_approach_date,miss_distance_astronomical,miss_distance_lunar,miss_distance_kilometers,miss_distance_miles,relative_velocity_kph,relative_velocity_kps,relative_velocity_mph,estimated_max_diameter_kilometers,estimated_min_diameter_kilometers,estimated_max_diameter_miles,estimated_min_diameter_miles,id,is_potentially_hazardous,is_sentry_object,name
19.9,2018-01-04,0.4437957146,172.6365329794,66390893.619287902,41253388.3499889676,10336.6912543542,2.8713031262,6422.817963018,0.6223575734,0.2783267681,0.3867149477,0.1729441822,2439898,False,False,439898 (2000 TG2)
24.2,2018-01-04,0.2326683195,90.5079762855,34806685.013679465,21627871.169788017,39098.8139397484,10.8607816499,24294.4824727286,0.0859092601,0.0384197891,0.0533815229,0.0238729428,3767152,False,False,(2017 BF30)
23.8,2018-01-05,0.2459301905,95.6668441045,36790632.667494235,22860639.077661043,35131.4936780629,9.7587482439,21829.3439467941,0.1032856481,0.046190746,0.0641787064,0.0287015901,3778661,False,False,(2017 OR19)
25.1,2018-01-05,0.0942014183,36.6443517187,14092331.528659021,8756568.7644196498,20508.4331597637,5.6967869888,12743.1428152987,0.0567596853,0.0253837029,0.0352688224,0.0157726969,3797678,False,False,(2018 AD12)
27.7,2018-01-05,0.0194750223,7.5757836747,2913421.854282501,1810316.3947644738,10895.7704081925,3.0266028912,6770.208007246,0.0171411509,0.0076657557,0.0106510141,0.0047632783,3797472,False,False,(2018 AJ3)
27.0,2018-01-05,0.0324057932,12.6058535548,4847837.638380484,3012306.6259753192,26373.9245664499,7.3260901573,16387.7310729699,0.023661375,0.0105816886,0.0147024923,0.0065751544,3797492,False,False,(2018 AY3)
20.7,2018-01-05,0.37547905,146.06135045,56170866.1096235,34902957.7288643,46464.048707791,12.9066801966,28870.9529317938,0.4305662442,0.1925550782,0.2675413778,0.1196481415,3709081,False,False,(2015 BW510)
27.3,2018-01-05,0.3508018868,136.4619339652,52479215.057261116,32609072.1338147608,50554.331266901,14.0428697964,31412.4954474808,0.0206081961,0.0092162655,0.0128053354,0.0057267201,3837602,False,False,(2019 AC3)
27.2,2018-01-05,0.0989023631,38.4730192459,14795582.857726597,9193548.8772651586,35482.7447101361,9.856317975,22047.5976783621,0.0215794305,0.0096506147,0.0134088323,0.0059966121,3837605,False,False,(2019 AE3)
22.5,2018-01-06,0.1464088991,56.9530617499,21902459.454404917,13609557.2214131746,31491.3953484571,8.747609819,19567.5284041566,0.1879489824,0.0840533402,0.1167860472,0.0522283081,3790059,False,False,(2017 WO28)
22.2,2018-01-06,0.3121950291,121.4438663199,46703711.377948017,29020340.5591839546,45655.8855808277,12.6821904391,28368.7917932648,0.2157943048,0.096506147,0.134088323,0.059966121,3795110,False,False,(2017 YO6)
25.1,2018-01-06,0.0711535148,27.6787172572,10644414.257093476,6614132.3179669288,67203.3213852782,18.6675892737,41757.5304463136,0.0567596853,0.0253837029,0.0352688224,0.0157726969,3797493,False,False,(2018 AZ3)
23.6,2018-01-06,0.0563193411,21.9082236879,8425253.468363457,5235209.7453394266,44905.9712457078,12.4738809016,27902.8241887566,0.1132504611,0.0506471459,0.0703705522,0.0314706677,3797449,False,False,(2018 AJ2)
19.2,2018-01-06,0.2793793129,108.6785527181,41794550.131903523,25969929.2103456974,59205.660181924,16.4460167172,36788.0947947071,0.8590926012,0.3841978911,0.5338152287,0.2387294278,3795054,False,False,(2017 YP4)
24.7,2018-01-06,0.0631056726,24.5481066414,9440474.205877362,5866038.6597051156,30281.4329899075,8.4115091639,18815.7048486456,0.0682401509,0.0305179233,0.0424024508,0.0189629525,3795122,False,False,(2017 YG7)
19.2,2018-01-06,0.3893284467,151.4487657663,58242706.356728529,36190339.5617265402,25908.1108466007,7.1966974574,16098.2925424337,0.8590926012,0.3841978911,0.5338152287,0.2387294278,2399611,False,False,399611 (2004 BE11)
19.8,2018-01-06,0.4637117626,180.3838756514,69370291.978905662,43104700.6441636556,146353.4128228277,40.6537257841,90938.3192064953,0.6516883822,0.2914439045,0.4049402617,0.1810947904,3620469,False,False,(2012 XS93)
23.2,2018-01-06,0.0940815083,36.5977067287,14074393.248067321,8745422.4337221898,47109.6005750021,13.0860001597,29272.0737572839,0.1361570015,0.0608912622,0.0846040122,0.0378360645,3738544,False,False,(2015 YG)
23.5,2018-01-06,0.0862967141,33.5694217849,12909804.617358967,8021780.6143170646,20912.1316352262,5.8089254542,12993.985348566,0.1185877909,0.0530340723,0.0736870142,0.0329538346,3794985,False,False,(2017 YC2)
23.7,2018-01-07,0.0943701419,36.7099851991,14117572.219837753,8772252.6026488714,39217.6331818639,10.893786995,24368.3121290309,0.1081533507,0.0483676488,0.0672033557,0.0300542543,3795031,False,False,(2017 YT3)
25.6,2018-01-07,0.1191694908,46.3569319212,17827501.992664596,11077496.0679235848,6527.657877814,1.8132382994,4056.0327519117,0.0450858206,0.0201629919,0.0280150214,0.0125286985,3797489,False,False,(2018 AB4)
25.7,2018-01-07,0.3977883252,154.7396585028,59508286.160787324,36976734.3863561112,76512.8335785552,21.2535648829,47542.0992866306,0.0430566244,0.0192555078,0.0267541378,0.0119648141,3398654,False,False,(2007 YS56)
27.1,2018-01-07,0.2805554515,109.1360706335,41970497.961288305,26079258.121876409,27351.3655333105,7.597601537,16995.074878184,0.0225964377,0.0101054342,0.0140407711,0.0062792237,3667048,False,False,(2014 GQ17)
22.2,2018-01-07,0.1605719121,62.4624738069,24021216.031987227,14926091.5102166526,59563.2899894922,16.5453583304,37010.3120493042,0.2157943048,0.096506147,0.134088323,0.059966121,3595775,False,False,(2012 AB11)
24.4,2018-01-07,0.0271751501,10.5711333889,4065344.571890287,2526087.9807164806,38497.1129664926,10.6936424907,23920.6088874298,0.0783501764,0.0350392641,0.0486845275,0.0217723826,3795123,False,False,(2017 YK7)
18.6,2018-01-07,0.2039150958,79.3229722662,30505263.992525946,18955092.0856562148,63173.9782557331,17.5483272933,39253.8533222915,1.1325046106,0.5064714588,0.7037055224,0.3147066768,3789416,False,False,(2017 VU14)
18.7,2018-01-07,0.2784133794,108.3028045866,41650048.537741878,25880140.0833107964,42549.8528913959,11.8194035809,26438.8238702121,1.0815335068,0.4836764882,0.6720335566,0.3005425432,2136839,False,False,136839 (1997 WT22)
21.2,2018-01-07,0.2077349055,80.8088782395,31076699.387451285,19310165.575086333,23162.7764291053,6.4341045636,14392.4484984071,0.3420109247,0.1529519353,0.2125156703,0.095039897,3567657,False,False,(2011 LY2)
24.2,2018-01-07,0.0865480051,33.6671739839,12947397.215709137,8045139.5717626106,43843.0013285371,12.1786114801,27242.3360199457,0.0859092601,0.0384197891,0.0533815229,0.0238729428,3624059,False,False,(2013 AT72)
25.1,2018-01-07,0.4723487284,183.7436553476,70662363.665848508,43907556.7614970904,33317.6407210395,9.2549002003,20702.2862580259,0.0567596853,0.0253837029,0.0352688224,0.0157726969,3472366,False,False,(2009 UC19)
26.3,2018-01-07,0.0303443126,11.8039376014,4539444.531574162,2820680.0352489556,20404.3040525785,5.6678622368,12678.4410375591,0.0326617897,0.0146067964,0.020295089,0.0090762397,3795129,False,False,(2017 YJ7)
18.8,2018-01-08,0.1839394799,71.5524576811,27516954.401947813,17098242.6093252994,32380.5935678253,8.9946093244,20120.0415977412,1.0328564805,0.4619074603,0.6417870641,0.2870159005,2265196,True,False,265196 (2004 BW58)
23.2,2018-01-08,0.1419798303,55.2301539867,21239880.195841461,13197849.5612797218,41439.4785045266,11.5109662513,25748.8804074377,0.1361570015,0.0608912622,0.0846040122,0.0378360645,3167343,False,False,(2003 WP7)
23.5,2018-01-08,0.1109809715,43.1715979135,16602516.946930705,10316325.656445529,20122.1047591566,5.5894735442,12503.0933710437,0.1185877909,0.0530340723,0.0736870142,0.0329538346,3381260,False,False,(2007 PS9)
21.8,2018-01-08,0.3927044309,152.7620236201,58747746.402202183,36504156.8940808054,47972.8419398399,13.3257894277,29808.4583708966,0.2594418179,0.1160259082,0.1612096218,0.0720951346,3795080,False,False,(2017 YH5)
25.2,2018-01-08,0.0440918845,17.1517430705,6596052.005486015,4098596.661756407,69457.3234433849,19.2937009565,43158.0796695855,0.0542050786,0.0242412481,0.0336814639,0.0150628086,3797671,False,False,(2018 AY11)
23.6,2018-01-08,0.038283094,14.892123566,5727069.31940978,3558635.858943764,26151.4040269581,7.2642788964,16249.4654633063,0.1132504611,0.0506471459,0.0703705522,0.0314706677,3795062,False,False,(2017 YX4)
21.3,2018-01-08,0.191367152,74.441822128,28628118.32716624,17788687.856084512,61283.8966148345,17.0233046152,38079.430093812,0.3266178974,0.1460679643,0.2029508896,0.090762397,3795032,False,False,(2017 YP3)
